4625001001;14918
4625001002;16769
4625001003;16668
4625001005;17188
4625001007;21888
4625001008;16538
4625001009;28339
4625001010;12534
4625001011;11927
4625001012;10937
4625001013;14106
4625001014;11498
4625001017;15007
4625001018;14779
4625001019;11679
4625001022;13931
4625001023;14269
4625001024;13117
4625001025;13319
4625001026;16160
4625001028;19362
4625001030;23612
4625001031;23673
4625001032;23442
4625001034;18407
4625002001;16977
4625002003;17026
4625002004;14272
4625002006;13809
4625002008;14055
4625002009;13374
4625002010;15013
4625002013;12733
4625002014;16364
4625002015;11936
4625002016;15272
4625002018;13225
4625002019;11948
4625002020;13117
4625002021;13415
4625002022;13567
4625002023;13383
4625002024;13310
4625002025;11751
4625002026;12170
4625002030;10704
4625002031;11384
4625002032;12411
4625002033;26437
4625002035;28339
4625002036;25164
4625002037;23855
4625002039;21376
4625002040;27343
4625002041;24672
4625002042;16782
4625002043;14428
4625002044;17138
4625002045;21237
4625002046;22170
4625002047;19786
4625002050;18117
4625002051;17510
4625002053;15946
4625002054;17674
4625002055;17193
4625002057;17652
4625003001;15256
4625003002;14865
4625003004;12241
4625003007;16617
4625003008;12549
4625003010;11942
4625003013;15100
4625003014;18226
4625003015;17261
4625003017;12506
4625003018;13371
4625003019;14473
4625003020;14634
4625003021;12115
4625003023;15623
4625003025;12787
4625003026;13233
4625003027;14817
4625003029;13428
4625003030;14120
4625003032;11888
4625003033;14130
4625003034;18205
4625003035;15742
4625003036;16157
4625003037;15442
4625003038;17242
4625003040;14534
4625003041;13027
4625003044;16854
4625003046;13149
4625003047;14023
4625003048;16544
4625003049;14809
4625003050;16641
4625003052;12923
4625003053;12615
4625003055;19665
4625004001;15370
4625004002;9074
4625004003;12401
4625004004;10933
4625004005;16204
4625004006;14746
4625004007;12256
4625004008;12936
4625004009;10045
4625004010;12129
4625004011;10155
4625004012;7952
4625004014;9129
4625004015;9176
4625004016;9218
4625004017;13084
4625004018;15825
4625004019;15605
4625004020;14219
4625004021;13792
4625004022;12734
4625004023;10965
4625004024;17173
4625004025;14267
4625004026;16138
4625004027;14616
4625004028;15723
4625005001;13361
4625005002;8519
4625005003;7813
4625005004;9480
4625005005;9188
4625005006;10703
4625005007;11326
4625005008;11847
4625005009;7825
4625005010;14124
4625005011;11650
4625005013;13401
4625005014;8786
4625005015;10015
4625005016;11374
4625005017;9532
4625005018;9019
4625005019;11536
4625005021;9662
4625005022;10456
4625005025;12538
4625005026;15204
4625005027;12335
4625005028;15487
4625005029;8517
4625005031;8894
4625005033;10195
4625005034;7430
4625005036;8453
4625005037;11698
4625005038;12433
4625005039;11495
4625005040;11955
4625005041;12636
4625005042;10579
4625005043;11599
4625006001;21940
4625006002;19735
4625006003;21485
4625006004;16603
4625006006;25231
4625006007;28339
4625006008;17931
4625006009;10944
4625006011;9466
4625006012;18841
4625006013;15119
4625006014;18429
4625006015;16089
4625006016;19880
4625006017;17131
4625006018;24020
4625006019;21179
4625006020;22275
4625006021;19741
4625006022;18318
4625006023;17837
4625006024;16600
4625006026;16853
4625006027;15438
4625007001;10006
4625007002;9088
4625007003;11774
4625007004;7777
4625007005;10292
4625007006;8184
4625007007;11346
4625007008;11928
4625007009;9995
4625007010;9743
4625007012;10835
4625007013;10854
4625007014;8567
4625007015;9223
4625007016;10644
4625007017;10286
4625007018;9834
4625007019;12274
4625007020;12708
4625007021;10465
4625007022;9954
4625007023;9720
4625007024;9140
4625007025;9034
4625007026;8196
4625007027;5334
4625007029;8109
4625007030;7445
